timestamp,ue_id,gnb_id,throughput_bps,signal_strength
0.0,0,0,0.0,-100.34166084364534
1.0,0,0,0.0,-100.34166084364534
2.0,0,0,0.0,-100.34166084364534
3.0,0,0,0.0,-100.34166084364534
4.0,0,0,0.0,-100.34166084364534
5.0,0,0,0.0,-100.34166084364534
6.0,0,0,0.0,-100.34166084364534
7.0,0,0,0.0,-100.34166084364534
8.0,0,0,0.0,-100.34166084364534
9.0,0,0,0.0,-100.34166084364534
10.0,0,0,0.0,-100.34166084364534
11.0,0,0,0.0,-100.34166084364534
12.0,0,0,0.0,-100.34166084364534
13.0,0,0,0.0,-100.34166084364534
14.0,0,0,0.0,-100.34166084364534
15.0,0,0,0.0,-100.34166084364534
16.0,0,0,0.0,-100.34166084364534
17.0,0,0,0.0,-100.34166084364534
18.0,0,0,0.0,-100.34166084364534
19.0,0,0,0.0,-100.34166084364534
20.0,0,0,0.0,-100.34166084364534
21.0,0,0,0.0,-100.34166084364534
22.0,0,0,0.0,-100.34166084364534
23.0,0,0,0.0,-100.34166084364534
24.0,0,0,0.0,-100.34166084364534
25.0,0,0,0.0,-100.34166084364534
26.0,0,0,0.0,-100.34166084364534
27.0,0,0,0.0,-100.34166084364534
28.0,0,0,0.0,-100.34166084364534
29.0,0,0,0.0,-100.34166084364534
30.0,0,0,0.0,-100.34166084364534
31.0,0,0,0.0,-100.34166084364534
32.0,0,0,0.0,-100.34166084364534
33.0,0,0,0.0,-100.34166084364534
34.0,0,0,0.0,-100.34166084364534
35.0,0,0,0.0,-100.34166084364534
36.0,0,0,0.0,-100.34166084364534
37.0,0,0,0.0,-100.34166084364534
38.0,0,0,0.0,-100.34166084364534
39.0,0,0,0.0,-100.34166084364534
40.0,0,0,0.0,-100.34166084364534
41.0,0,0,0.0,-100.34166084364534
42.0,0,0,0.0,-100.34166084364534
43.0,0,0,0.0,-100.34166084364534
44.0,0,0,0.0,-100.34166084364534
45.0,0,0,0.0,-100.34166084364534
46.0,0,0,0.0,-100.34166084364534
47.0,0,0,0.0,-100.34166084364534
48.0,0,0,0.0,-100.34166084364534
49.0,0,0,0.0,-100.34166084364534
50.0,0,0,0.0,-100.34166084364534
51.0,0,0,0.0,-100.34166084364534
52.0,0,0,0.0,-100.34166084364534
53.0,0,0,0.0,-100.34166084364534
54.0,0,0,0.0,-100.34166084364534
55.0,0,0,0.0,-100.34166084364534
56.0,0,0,0.0,-100.34166084364534
57.0,0,0,0.0,-100.34166084364534
58.0,0,0,0.0,-100.34166084364534
59.0,0,0,0.0,-100.34166084364534
