Time,UE_ID,X,Y,Z,Speed_ms
8.800,12,-40.000,-60.000,2.500,0.000
8.900,13,-80.000,-60.000,2.500,0.000
9.000,7,-70.000,60.000,2.500,0.000
9.000,10,80.000,-60.000,2.500,0.000
9.000,5,60.000,60.000,2.500,0.000
9.000,0,39.381,38.395,1.700,0.000
9.100,11,40.000,-60.000,2.500,0.000
9.200,9,80.000,-20.000,2.500,0.000
9.200,8,-90.000,-20.000,2.500,0.000
9.200,2,-39.381,-38.395,1.700,0.000
9.200,6,-30.000,60.000,2.500,0.000
9.300,1,-38.395,39.381,1.700,0.000
9.500,3,38.395,-39.381,1.700,0.000
9.500,12,-40.000,-60.000,2.500,0.000
9.500,10,80.000,-60.000,2.500,0.000
9.500,5,60.000,60.000,2.500,0.000
9.500,0,37.595,40.145,1.700,0.000
9.600,4,40.000,60.000,2.500,0.000
9.700,13,-80.000,-60.000,2.500,0.000
9.700,7,-70.000,60.000,2.500,0.000
9.700,11,40.000,-60.000,2.500,0.000
9.800,6,-30.000,60.000,2.500,0.000
9.900,2,-37.595,-40.145,1.700,0.000
9.900,1,-40.145,37.595,1.700,0.000
10.000,8,-90.000,-20.000,2.500,0.000
10.000,10,80.000,-60.000,2.500,0.000
10.000,5,60.000,60.000,2.500,0.000
10.000,0,35.732,41.812,1.700,0.000
10.100,9,80.000,-20.000,2.500,0.000
10.200,12,-40.000,-60.000,2.500,0.000
10.300,3,41.812,-35.732,1.700,0.000
10.300,11,40.000,-60.000,2.500,0.000
10.400,7,-70.000,60.000,2.500,0.000
10.400,6,-30.000,60.000,2.500,0.000
10.500,4,40.000,60.000,2.500,0.000
10.500,13,-80.000,-60.000,2.500,0.000
10.500,1,-43.392,33.795,1.700,0.000
10.500,10,80.000,-60.000,2.500,0.000
10.500,5,60.000,60.000,2.500,0.000
10.500,0,33.795,43.392,1.700,0.000
10.600,2,-33.795,-43.392,1.700,0.000
10.800,8,-90.000,-20.000,2.500,0.000
10.900,12,-40.000,-60.000,2.500,0.000
10.900,11,40.000,-60.000,2.500,0.000
11.000,9,80.000,-20.000,2.500,0.000
11.000,6,-30.000,60.000,2.500,0.000
11.000,10,80.000,-60.000,2.500,0.000
11.000,5,60.000,60.000,2.500,0.000
11.000,0,31.789,44.883,1.700,0.000
11.100,3,43.392,-33.795,1.700,0.000
11.100,7,-70.000,60.000,2.500,0.000
11.100,1,-44.883,31.789,1.700,0.000
11.300,13,-80.000,-60.000,2.500,0.000
11.300,2,-31.789,-44.883,1.700,0.000
11.400,4,40.000,60.000,2.500,0.000
11.500,11,40.000,-60.000,2.500,0.000
11.500,10,80.000,-60.000,2.500,0.000
11.500,5,60.000,60.000,2.500,0.000
11.500,0,29.717,46.281,1.700,0.000
11.600,8,-90.000,-20.000,2.500,0.000
11.600,12,-40.000,-60.000,2.500,0.000
