Time,UE_ID,Best_gNB_ID,RSRP_dBm,Distance_m,Handover_Event
8.5,0,1,-48.4,77.5,NO
8.6,11,5,-45.8,58.2,NO
8.6,6,2,-46.5,62.3,NO
8.6,1,2,-48.1,74.9,NO
8.7,12,4,-45.8,58.2,NO
8.7,7,2,-45.4,55.5,NO
8.7,2,4,-48.4,77.5,NO
8.8,13,4,-45.8,58.2,NO
8.8,8,3,-44.2,48.5,NO
8.8,3,5,-48.1,74.9,NO
8.9,9,0,-45.4,55.3,NO
8.9,4,1,-45.8,58.2,NO
9.0,10,5,-45.8,58.2,NO
9.0,5,1,-45.3,54.6,NO
9.0,0,1,-48.3,76.3,NO
9.1,11,5,-45.8,58.2,NO
9.1,6,2,-46.5,62.3,NO
9.1,1,2,-48.2,75.8,NO
9.2,12,4,-45.8,58.2,NO
9.2,7,2,-45.4,55.5,NO
9.2,2,4,-48.3,76.3,NO
9.3,13,4,-45.8,58.2,NO
9.3,8,3,-44.2,48.5,NO
9.3,3,5,-48.2,75.8,NO
9.4,9,0,-45.4,55.3,NO
9.4,4,1,-45.8,58.2,NO
9.5,10,5,-45.8,58.2,NO
9.5,5,1,-45.3,54.6,NO
9.5,0,1,-48.2,75.4,NO
9.6,11,5,-45.8,58.2,NO
9.6,6,2,-46.5,62.3,NO
9.6,1,2,-48.4,76.8,NO
9.7,12,4,-45.8,58.2,NO
9.7,7,2,-45.4,55.5,NO
9.7,2,4,-48.2,75.4,NO
9.8,13,4,-45.8,58.2,NO
9.8,8,3,-44.2,48.5,NO
9.8,3,5,-48.4,76.8,NO
9.9,9,0,-45.4,55.3,NO
9.9,4,1,-45.8,58.2,NO
10.0,10,5,-45.8,58.2,NO
10.0,5,1,-45.3,54.6,NO
10.0,0,1,-48.1,74.5,NO
10.1,11,5,-45.8,58.2,NO
10.1,6,2,-46.5,62.3,NO
10.1,1,2,-48.5,78.0,NO
10.2,12,4,-45.8,58.2,NO
10.2,7,2,-45.4,55.5,NO
10.2,2,4,-48.1,74.5,NO
10.3,13,4,-45.8,58.2,NO
10.3,8,3,-44.2,48.5,NO
10.3,3,5,-48.5,78.0,NO
10.4,9,0,-45.4,55.3,NO
10.4,4,1,-45.8,58.2,NO
10.5,10,5,-45.8,58.2,NO
